Location,Date
"North port, Florida, Us, 34288", 2015-01-09 13:30:43.953669+00:00
"Austin, TX, United States, 78746", 2015-01-08 16:00:07.024707+00:00
"Ross, CA, United States, 94957", 2015-01-08 16:02:22.934797+00:00
"Columbia, MO, United States, 65201", 2015-01-08 16:05:06.015110+00:00
"Grapevine, TX, United States, 76051", 2015-01-08 16:09:53.735978+00:00
"Pittsburgh, PA, United States, 15237", 2015-01-08 17:59:21.736425+00:00
"Hayward, CA, USA, 94544", 2015-01-08 19:21:11.436302+00:00
"Lakewood Ranch, FL, United States, 34211", 2015-01-09 15:08:45.788261+00:00
"Fort Mill, SC, USA, 29708", 2015-01-08 18:38:11.553417+00:00
"Princeton, NJ, USA, 08540", 2015-01-09 15:09:32.760600+00:00
"Herndon, VA, United States, 20170", 2015-01-09 15:24:52.831886+00:00
"Rockville, MD, USA, 20852", 2015-01-09 20:11:31.925290+00:00
"Alice, EC, South Africa, ", 2015-01-08 16:54:42.815773+00:00
"Kannapolis, NC, United States, 28083", 2015-01-08 17:11:41.110598+00:00
"Midlothian, TX, United States, 76065", 2015-01-08 17:21:53.070047+00:00
"St. Pete Beach, FL, USA, 33706", 2015-01-09 15:09:34.045116+00:00
"San Diego, CA, United States, ", 2015-01-09 20:55:45.414843+00:00
"Riverdale, UT, United States, 84405", 2015-01-08 17:34:51.196076+00:00
"Karns, Tennessee, USA, 37932", 2015-01-09 13:35:20.073988+00:00
"Superior, Colorado, United States, 80027", 2015-01-09 14:42:18.253734+00:00
"Charlotte, NC, USA, 28269", 2015-01-09 13:37:54.373075+00:00
"Lexington, Kentucky, United States, 40508", 2015-01-09 14:42:06.508245+00:00
"Bethesda, MD, United States, 20816", 2015-01-09 15:56:09.007981+00:00
"Manhattan Beach, CA, United States, 90266", 2015-01-08 17:43:06.380699+00:00
"Austin, TX, United States, ", 2015-01-08 17:43:54.706887+00:00
"Dubai, Dubai, United Arab Emirates, ", 2015-01-09 13:36:16.785331+00:00
"Indianapolis, IN, United States, 46203", 2015-01-09 14:42:42.580595+00:00
"NA, Washington, United States, ", 2015-01-09 15:34:23.250253+00:00
"Severn, Maryland, USA, 21144", 2015-01-09 15:56:16.396608+00:00
"San Diego, CA, United States, 92116", 2015-01-08 18:21:05.142290+00:00
"San Rafael, California, United States, 94903", 2015-01-08 17:49:32.887915+00:00
"Redding, California, USA, 96003", 2015-01-08 18:07:39.481620+00:00
"Old Bridge Township, NJ, United States, ", 2015-01-08 18:06:30.249311+00:00
